"model-run","timestamp","t_2m","t_2m_unit","aswdir_s","aswdir_s_unit","aswdifd_s","aswdifd_s_unit","ws_10m","ws_10m_unit"
"00","2020-04-17 13:15:00","","",532.6876740099552,"W/m²",147.7037467956543,"W/m²","",""
"00","2020-04-17 13:30:00","","",497.65646352276826,"W/m²",155.8590202331543,"W/m²","",""
"00","2020-04-17 13:45:00","","",478.07058452039337,"W/m²",152.5255184173584,"W/m²","",""
"00","2020-04-17 14:00:00",294.4796142578125,"K",439.80503457236,"W/m²",158.57295417785645,"W/m²",2.498603473894907,"m/s"
"00","2020-04-17 14:15:00","","",411.03169543798185,"W/m²",156.9764461517334,"W/m²","",""
"00","2020-04-17 14:30:00","","",369.0313189275749,"W/m²",161.99789810180664,"W/m²","",""
"00","2020-04-17 14:45:00","","",273.84378336303143,"W/m²",195.0535249710083,"W/m²","",""
"00","2020-04-17 15:00:00",294.1990661621094,"K",119.68765213739127,"W/m²",250.05797290802002,"W/m²",2.465593820422025,"m/s"
"00","2020-04-17 15:15:00","","",31.64088168111733,"W/m²",241.51322841644287,"W/m²","",""
"00","2020-04-17 15:30:00","","",15.515889007685086,"W/m²",207.3733320236206,"W/m²","",""
"00","2020-04-17 15:45:00","","",13.712764560013182,"W/m²",196.41140365600586,"W/m²","",""
"00","2020-04-17 16:00:00",293.0673522949219,"K",1.6640626105065972,"W/m²",147.3132839202881,"W/m²",2.38674171638212,"m/s"
"00","2020-04-17 16:15:00","","",0.04687945530232401,"W/m²",94.80479049682617,"W/m²","",""
"00","2020-04-17 16:30:00","","",0.23456198643479,"W/m²",68.3850154876709,"W/m²","",""
"00","2020-04-17 16:45:00","","",0.226711271461099,"W/m²",52.72117042541504,"W/m²","",""
"00","2020-04-17 17:00:00",291.3795471191406,"K",-0.007700437984118001,"W/m²",46.01602554321289,"W/m²",2.249560473680326,"m/s"
"00","2020-04-17 17:15:00","","",0.039140799985163004,"W/m²",35.593504905700684,"W/m²","",""
"00","2020-04-17 17:30:00","","",-0.179636676040374,"W/m²",17.178425788879395,"W/m²","",""
"00","2020-04-17 17:45:00","","",0.41409030722661105,"W/m²",22.059274673461914,"W/m²","",""
"00","2020-04-17 18:00:00",290.4291687011719,"K",-0.398426264524459,"W/m²",21.75517463684082,"W/m²",1.822282517083366,"m/s"
"00","2020-04-17 18:15:00","","",0.14062730241773802,"W/m²",9.691753387451172,"W/m²","",""
"00","2020-04-17 18:30:00","","",0.35937507737220903,"W/m²",1.118246078491211,"W/m²","",""
"00","2020-04-17 18:45:00","","",-0.35937495375259004,"W/m²",0.06174468994140601,"W/m²","",""
